6.22E+01,1.00E+02,1.00E+02,4.88E+01,6.59E+01,1.00E+02,1.00E+02,9.51E+01,1.00E+02,1.00E+02,8.72E+01,
9.51E+01,1.00E+02,1.00E+02,1.00E+02,9.77E+01,1.00E+02,1.00E+02,8.84E+01,7.67E+01,8.78E+01,9.46E+01,
9.77E+01,9.57E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,9.93E+01,
1.00E+02,1.00E+02,1.00E+02,9.78E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,9.98E+01,
3.53E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,8.24E+01,1.00E+02,1.00E+02,8.89E+01,1.00E+02,9.07E+01,
9.58E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,9.96E+01,
7.06E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,9.41E+01,9.65E+01,
1.00E+02,1.00E+02,1.00E+02,9.60E+01,1.00E+02,4.29E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,9.39E+01,
1.00E+02,1.00E+02,1.00E+02,4.69E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,9.47E+01,
1.30E+01,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,1.00E+02,9.57E+01,9.09E+01,
7.70E+01,9.96E+01,1.00E+02,8.89E+01,9.64E+01,9.25E+01,1.00E+02,9.83E+01,9.66E+01,9.78E+01,9.47E+01,
